hungpui,junimo,cumber,roochan,svsh,watson,acetamin,bbom,quyt,dogtung,paradozx,lalune,mekko,a2ex,yangg,sasha,nas,keymis,tnphi,wanlee,zekrom,zinki,havu,snipertx,myhanh,nguoida,nyan,candy,hoanghiep,eklove,duygudboy,tieuchay,dithucc,thongo,namonade,alan,kie,Result
0,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,2,0,1
2,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,1
2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,1,1,0,2
0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,1,0,0,0,0,2,1,0,2
0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,0,0,0,0,2,1,0,2
2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,2,1,0,1
0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,1,0,2
0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,1,2,0,2
0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,0,0,0,0,1,2,1
0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,2,0,0,0,2,0,2
0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,1,0,0,0,1,0,1
0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,1,0,0,0,1,0,1
0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,1,0,0,0,1,0,1
